Gene	count	length	Bias	TPM_ModelBD
Os01g0100100	319.000000	2935.000000	0.324237	30.494635
Os01g0100200	0.000000	1127.000000	0.931651	0.000000
Os01g0100300	0.000000	810.000000	1.107346	0.000000
Os01g0100400	71.000000	2161.000000	0.510502	5.854759
Os01g0100466	33.000000	1074.000000	0.959768	2.912370
Os01g0100500	354.000000	2222.000000	0.492507	29.427290
Os01g0100600	320.000000	1960.000000	0.574570	25.849623
Os01g0100650	110.000000	564.000000	1.244953	14.251605
Os01g0100700	514.000000	906.000000	1.052530	49.034691
Os01g0100800	215.000000	1522.000000	0.742572	17.305668
Os01g0100900	1099.000000	1869.000000	0.606130	88.252278
Os01g0101150	25.000000	2433.000000	0.435042	2.148670
Os01g0101175	9.000000	996.000000	1.002205	0.820219
Os01g0101200	2513.000000	3166.000000	0.283479	254.720388
Os01g0101300	222.000000	1896.000000	0.596592	17.854183
Os01g0101600	717.000000	4365.000000	0.143436	104.179186
Os01g0101700	130.000000	879.000000	1.067857	12.599243
Os01g0101800	3.000000	2334.000000	0.461109	0.253583
Os01g0101850	4.000000	1555.000000	0.728439	0.321247
Os01g0101900	0.000000	346.000000	1.321825	0.000000
Os01g0102000	1.000000	1703.000000	0.668106	0.079954
Os01g0102300	434.000000	971.000000	1.016051	40.018247
Os01g0102400	3.000000	1517.000000	0.744735	0.241567
Os01g0102500	185.000000	1770.000000	0.642387	14.801458
Os01g0102600	967.000000	1126.000000	0.932175	83.809545
Os01g0102700	297.000000	930.000000	1.038986	27.961902
Os01g0102800	174.000000	2990.000000	0.314010	16.859234
Os01g0102850	137.000000	752.000000	1.140686	14.529135
Os01g0102900	30649.000000	652.000000	1.197499	3571.056803
Os01g0103000	90.000000	1018.000000	0.990115	8.122920
Os01g0103050	34.000000	2487.000000	0.421459	2.950874
Os01g0103100	18.000000	1969.000000	0.571538	1.455074
Os01g0103075	18.000000	1700.000000	0.669281	1.439191
Os01g0103400	65.000000	640.000000	1.204169	7.672711
Os01g0103600	313.000000	3861.000000	0.190253	38.762869
Os01g0103650	11.000000	934.000000	1.036737	1.033428
Os01g0103700	43.000000	3481.000000	0.236339	4.754794
Os01g0103800	248.000000	2142.000000	0.516241	20.402480
Os01g0103900	6.000000	2194.000000	0.500686	0.496880
Os01g0104000	164.000000	2068.000000	0.539211	13.379421
Os01g0104100	792.000000	1642.000000	0.692377	63.374201
Os01g0104200	0.000000	1020.000000	0.989020	0.000000
Os01g0104350	79.000000	628.000000	1.210790	9.451519
Os01g0104400	1434.000000	1462.000000	0.768917	116.044666
Os01g0104500	0.000000	1491.000000	0.756078	0.000000
Os01g0104600	526.000000	2110.000000	0.526052	43.109980
Os01g0104800	331.000000	2106.000000	0.527291	27.115784
Os01g0104900	14.000000	1773.000000	0.641258	1.120184
Os01g0105300	2.000000	2456.000000	0.429203	0.172600
Os01g0105400	99.000000	1950.000000	0.577957	7.991124
Os01g0105700	3.000000	1506.000000	0.749515	0.241779
Os01g0105800	24.000000	835.000000	1.092998	2.392261
Os01g0105900	653.000000	1548.000000	0.731416	52.466342
Os01g0106200	325.000000	942.000000	1.032246	30.405513
Os01g0106300	0.000000	1253.000000	0.867341	0.000000
Os01g0106400	9.000000	1206.000000	0.890901	0.762024
Os01g0106500	41.000000	964.000000	1.019947	3.793430
Os01g0106600	10.000000	1023.000000	0.987380	0.900623
Os01g0106700	685.000000	7341.000000	0.033338	254.625267
Os01g0106750	47.000000	338.000000	1.322087	9.568063
Os01g0106800	499.000000	721.000000	1.158454	54.348756
Os01g0106900	4184.000000	1899.000000	0.595542	336.556127
Os01g0107000	791.000000	1764.000000	0.644651	63.278503
Os01g0107400	29.000000	496.000000	1.277905	4.162178
Os01g0107700	24.000000	2031.000000	0.551075	1.950713
Os01g0107750	17.000000	1711.000000	0.664984	1.359223
Os01g0107801	0.000000	73.000000	0.978956	0.000000
Os01g0107900	2689.000000	2381.000000	0.448542	229.050565
Os01g0108000	343.000000	2581.000000	0.398836	30.311978
Os01g0108200	447.000000	2353.000000	0.455986	37.899803
Os01g0108400	2161.000000	772.000000	1.129192	225.513493
Os01g0108500	978.000000	1195.000000	0.896489	83.047946
Os01g0108600	665.000000	1287.000000	0.850622	55.259800
Os01g0108700	1.000000	624.000000	1.212985	0.120189
Os01g0108800	11.000000	2372.000000	0.450921	0.935579
Os01g0109000	151.000000	1458.000000	0.770704	12.224610
Os01g0109201	530.000000	2049.000000	0.545272	43.154299
Os01g0109300	496.000000	1975.000000	0.569525	40.114816
Os01g0109366	0.000000	505.000000	1.273821	0.000000
Os01g0109432	5.000000	578.000000	1.237680	0.635824
Os01g0109500	6.000000	1226.000000	0.880812	0.505453
Os01g0109700	3420.000000	4570.000000	0.128126	531.342394
Os01g0109750	85.000000	975.000000	1.013828	7.822634
Os01g0110050	10.000000	1416.000000	0.789689	0.813549
Os01g0110100	91.000000	2766.000000	0.357872	8.363041
Os01g0110200	2.000000	970.000000	1.016607	0.184505
Os01g0110400	384.000000	1557.000000	0.727591	30.836028
Os01g0110500	177.000000	3082.000000	0.297645	17.552728
Os01g0110600	59.000000	1893.000000	0.597645	4.744182
Os01g0110700	5.000000	3414.000000	0.245626	0.542420
Os01g0110800	4.000000	1955.000000	0.576261	0.322996
Os01g0111000	1.000000	444.000000	1.299184	0.157706
Os01g0111100	50.000000	1119.000000	0.935856	4.343443
Os01g0111200	553.000000	2355.000000	0.455450	46.902526
Os01g0111300	1.000000	796.000000	1.115392	0.102462
Os01g0111400	223.000000	2663.000000	0.380116	20.041034
Os01g0111500	0.000000	1475.000000	0.763138	0.000000
Os01g0111600	0.000000	1036.000000	0.980292	0.000000
Os01g0111700	5.000000	945.000000	1.030564	0.467053
Os01g0111800	7.000000	673.000000	1.185723	0.798000
Os01g0111900	33.000000	1024.000000	0.986833	2.970798
Os01g0112000	0.000000	652.000000	1.197499	0.000000
Os01g0112050	5.000000	718.000000	1.160168	0.546044
Os01g0112100	28.000000	3691.000000	0.209563	3.293084
Os01g0112201	16.000000	1099.000000	0.946429	1.399385
Os01g0112300	116.000000	1977.000000	0.568856	9.383227
Os01g0112400	2.000000	1020.000000	0.989020	0.180355
Os01g0112500	155.000000	1435.000000	0.781049	12.580696
Os01g0112600	0.000000	574.000000	1.239771	0.000000
Os01g0112800	0.000000	3731.000000	0.204838	0.000000
Os01g0113000	0.000000	3726.000000	0.205423	0.000000
Os01g0113150	0.000000	2872.000000	0.336376	0.000000
Os01g0113200	50.000000	1944.000000	0.579999	4.034125
Os01g0113300	43.000000	2245.000000	0.485888	3.586074
Os01g0113325	31.000000	2086.000000	0.533532	2.533903
Os01g0113350	1.000000	2205.000000	0.497457	0.082935
Os01g0113400	1.000000	2815.000000	0.347765	0.092926
Os01g0113450	1.000000	2051.000000	0.544631	0.081440
Os01g0113500	3.000000	2542.000000	0.408068	0.263097
Os01g0113600	217.000000	2343.000000	0.458675	18.368995
Os01g0113650	199.000000	1991.000000	0.564192	16.116019
